date,run_id,purpose,machine,spot,region,est_hours,hourly_rate_usd,est_cost_usd,hard_cap_hours,max_cost_usd,actual_seconds,actual_cost_usd,status,notes
2026-08-17,phase1-lstai,"Phase 1: LST-AI probability maps on 19 ISBI cases",e2-standard-8 (8vCPU/32GB),yes,us-central1-a,0.63,0.20,0.13,6,1.20,2280,0.12,done,"Auto-deleted; 0 residual verified. ~7 min/case. Produced cohorts/isbi19-lstai."
2026-08-17,flames-pilot,"FLAMeS pilot #1: 3 cases end-to-end validation",e2-standard-8 (8vCPU/32GB) CPU,yes,us-central1-a,0.45,0.10,0.05,1,0.10,1053,0.0292,done-bugs,"CAUGHT 4 env bugs (no unzip / missing-metadata-404 / conda-PATH / numpy). Cost+shutdown+self-delete infra VALIDATED. Re-piloting with fixes."
2026-08-17,flames-pilot2,"FLAMeS pilot #2",e2-standard-8 CPU,yes,us-central1-a,0.45,0.10,0.05,1,0.10,762,0.0212,done-bugs,"unzip+metadata fixes WORKED (assembled 3 cases). Found: image has NO /opt/conda -> pip absent. Fix: apt python3-pip + python3 -m pip."
2026-08-17,flames-pilot3,"FLAMeS pilot #3",e2-standard-8 CPU,yes,us-central1-a,0.45,0.10,0.05,1,0.10,1339,0.0372,done-bugs,"pip fix WORKED (deps+nnU-Net on PATH, assembled 3, weights ok). Inference failed: torch/torchvision ABI mismatch. Fix: install torch+torchvision same index."
2026-08-17,flames-pilot4-gpu,"FLAMeS pilot #4 (GPU)",n1-standard-4 + 1x NVIDIA P4,yes,us-central1-a,0.20,0.22,0.04,1,0.22,1549,0.0947,done-bugs,"torchvision fix WORKED. But No-CUDA-GPUs-available (P4 not visible to torch cu130 / driver). Pivot: CPU + auto-device-detect. GPU deferred."
2026-08-17,flames-pilot5-cpu,"FLAMeS pilot #5 (CPU)",e2-standard-8 CPU,yes,us-central1-a,0.45,0.10,0.05,1,0.10,1566,0.0435,done-GREEN,"PIPELINE WORKS. Inference ran, BUILT 3 pairs. Orientation bug found+fixed (transpose 2,1,0 -> Dice 0.56). GREEN LIGHT."
2026-08-17,flames-full,"FLAMeS full: prob maps on open_ms_data(30)+MSLesSeg(115)=145 labeled MNI-1mm cases",n1-standard-4 + 1x NVIDIA P4,yes,us-central1-a,2.00,0.22,0.44,6,1.32,,,planned,"Gated on pilot success + measured cost. Builds cohorts/{openms30,mslesseg115}-flames."
2026-08-17,flames-controls,"FLAMeS on SibBMS 100 healthy controls (conformal false-null); downloads 11GB zip on-VM",n1-standard-8 + 1x NVIDIA P4,yes,us-central1-a,2.00,0.26,0.52,6,1.56,,,planned,"Needs SynthStrip skull-strip (CPU) + 11GB SibBMS download on ephemeral disk. Separate run."
2026-08-17,sibbms-pilot,"SibBMS pilot: 3 healthy controls (false-null) via remotezip+HD-BET+FLAMeS",n2-standard-8 CPU,yes,us-central1-a,0.6,0.10,0.06,2,0.20,,,running,"Validates remotezip extract (Output/Norm/*FLAIR) + HD-BET skull-strip + FLAMeS. Controls = conformal false-null."
2026-08-17,flames-backfill,"MSLesSeg test-split backfill (22 cases)",n2-standard-8 CPU,yes,us-central1-a,0.5,0.10,0.05,2,0.20,3570,0.099,done,"Attempt1 $0.017 transient Zenodo weights fail; backfill2 $0.082 BUILT 22. Labeled cohort now 145 complete."
2026-08-17,sibbms-pilots,"SibBMS controls pipeline validation (2 pilots)",n2-standard-8 CPU,yes,us-central1-a,0.9,0.10,0.09,2,0.40,3551,0.099,done,"remotezip+HD-BET+FLAMeS validated. Native-space orientation OK, false-null OK (88 false cand/control)."
2026-08-17,sibbms-full,"SibBMS healthy controls (false-null), 4 CPU chunks",4x n2-standard-8 CPU,yes,us-central1-a,3.5,0.10,0.35,2,1.60,3960,0.318,done,"30/40 controls (chunk3 Spot-preempted). ~2.8 false candidates/healthy brain = FLAMeS is highly specific. Program total ~$1.2, 0 residual verified."
